Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted,y_pred,Id
2012,23.0,Notre Dame,1.8796,96.61517481,4.54,86.36,19.0,309.88,6.63,4.12,0,1,17,1.0,0.0,1561
2010,22.0,Arizona St.,1.8796,108.8621688,4.81,88.9,21.0,281.94,6.93,4.54,0,4,7,1.0,1.0,1099
2015,21.997016197783463,Maryland,1.8288,87.08973504,4.51,86.36,12.0,304.8,6.98,4.27,1,0,19,0.0,0.0,1455
2011,22.0,Stanford,1.8542,139.70645,5.28,60.96,30.0,256.54,7.54,4.54,0,2,4,1.0,1.0,911
2013,23.0,Georgia,1.9304,156.94296,5.21,83.50634934889987,30.0,291.9857,7.230447266703479,4.399422150882825,0,2,4,1.0,0.0,521
2018,22.0,Iowa St.,1.9558,102.965468,4.55,96.52,17.0,309.88,7.230447266703479,4.399422150882825,1,0,19,0.0,1.0,1537
2018,21.0,BYU,1.905,107.0477993,4.64,97.79,21.0,302.26,6.9,4.28,0,4,11,1.0,1.0,1452
2016,22.0,West Virginia,1.8796,110.2229459,4.73,81.28,19.0,304.8,7.16,4.22,0,4,7,1.0,1.0,2492
2018,23.0,Oklahoma St.,1.9304,97.97595192,4.62,86.36,13.0,307.34,7.07,4.25,1,0,19,1.0,0.0,2683
2012,23.0,Iowa,1.9812,141.9744118,5.16,67.31,23.0,248.92,7.87,4.75,1,5,12,1.0,1.0,1637
2019,21.997016197783463,Wyoming,1.8288,94.80080533,4.56,92.71,9.0,307.34,7.08,4.2,0,1,16,0.0,0.0,2680
2017,21.0,Texas A&M,1.9558,120.6555704,4.76,91.44,18.0,312.42,7.03,4.38,0,2,3,1.0,1.0,727
2011,21.0,USC,1.8542,136.077711,5.04,69.85,26.0,256.54,7.51,4.78,0,2,4,1.0,1.0,175
2011,21.0,Utah,1.8288,86.1825503,4.5,81.28,18.0,299.72,6.93,4.07,0,1,1,1.0,1.0,891
